GeneID,GSM4681806,GSM4681807,GSM4681811,GSM4681812
100287102,12,28,46,17
653635,455,215,400,294
102466751,7,3,0,1
107985730,0,0,0,1
100302278,0,0,0,0
645520,0,0,0,0
79501,0,0,0,0
100996442,117,164,71,98
729737,5070,2299,4387,1829
102725121,18,32,52,19
102723897,457,209,357,291
102465909,2,1,0,1
107985721,0,0,0,0
112268260,10,18,12,3
729759,0,0,0,0
100132287,1287,855,1078,519
105378947,1,1,0,0
101928626,0,0,0,0
113219467,110,66,154,64
81399,7,14,2,4
100133331,847,695,675,425
107984841,110,85,43,61
107984847,172,103,49,85
107984849,109,64,50,47
100288069,69,93,30,45
105378580,20,8,13,13
400728,8,3,12,3
79854,17,0,23,6
643837,92,54,47,25
107984850,3,2,4,0
284593,1,1,1,0
284600,0,0,0,0
100130417,0,0,0,0
107985728,0,0,0,0
148398,58,31,37,15
26155,500,455,365,179
339451,76,34,43,39
84069,9,10,9,6
84808,0,0,2,0
57801,45,19,71,26
9636,1585,1230,740,238
375790,95,70,48,18
100288175,4,0,3,0
112267874,5,2,11,0
105378948,11,4,5,1
401934,0,0,0,0
54991,77,38,93,28
254099,1,0,0,0
406984,0,0,0,0
406983,0,0,0,0
554210,0,0,0,0
100506376,0,2,0,0
254173,6,0,2,0
8784,68,67,76,24
7293,97,47,50,16
51150,1919,1404,1264,693
126792,152,216,36,11
388581,9,4,20,8
118424,739,512,368,216
101928895,14,5,17,5
6339,38,23,51,18
116983,424,329,303,207
102465434,0,0,0,0
109623456,2,2,1,0
126789,113,63,128,46
54973,772,553,592,370
102465435,2,1,3,1
80772,283,299,76,77
83756,25,22,24,12
1855,318,200,427,215
102466740,6,1,0,1
54587,43,15,13,10
54998,1014,935,1110,534
81669,1000,386,949,469
148413,164,97,95,84
55052,287,168,170,71
107984868,0,0,1,0
441869,2,2,0,0
105378585,0,0,0,0
643965,1,0,0,0
102724312,0,0,0,0
107985729,0,0,0,0
64856,0,0,0,0
219293,10,10,17,3
83858,311,162,345,129
55210,153,138,108,60
339453,5,3,0,3
